h: 0.75, area: 130904
h: 1, area: 66850
h: 1.25, area: 39855
h: 1.5, area: 28819
h: 1.75, area: 21649
h: 2, area: 15621
h: 2.25, area: 12284
h: 2.5, area: 9340
h: 2.75, area: 8177
h: 3, area: 6859
h: 3.25, area: 5957
h: 3.5, area: 5057
h: 3.75, area: 4462
h: 4, area: 3932
h: 4.25, area: 3236
h: 4.5, area: 2979
h: 4.75, area: 2652
h: 5, area: 2440
h: 5.25, area: 2196
h: 5.5, area: 2023
h: 5.75, area: 1825
h: 6, area: 1672
h: 6.25, area: 1549
h: 6.75, area: 1407
h: 6.5, area: 1326
h: 7, area: 1229
h: 7.25, area: 1145
h: 7.5, area: 1062
h: 7.75, area: 997
h: 8, area: 930
h: 8.25, area: 875
h: 8.5, area: 825
h: 8.75, area: 772
h: 9, area: 754
h: 9.25, area: 700
h: 9.5, area: 650
h: 9.75, area: 639
h: 10, area: 599
